lankomumas_proc,savarankisko_mokymosi_val,streso_lygis,darbo_valandos,miego_valandos,socialiniu_tinklu_val,studiju_vidurkis,dvyliktos_klases_vidurkis,brandos_egzaminas_1,brandos_egzaminas_2,brandos_egzaminas_3,finansinis_stresas,ketinu_mesti_studijas,rizika
100.0,5.0,1.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0
50.0,2.0,3.0,50.0,5.0,4.0,8.0,8.0,24.0,48.0,64.0,3.0,1.0,0
100.0,25.0,5.0,40.0,6.0,4.0,8.0,8.0,23.0,32.0,46.0,5.0,1.0,0
20.0,15.0,5.0,28.0,8.0,4.0,8.0,6.0,16.0,36.0,38.0,5.0,1.0,0
100.0,4.0,3.0,0.0,7.0,5.0,0.0,8.0,62.0,70.0,60.0,3.0,1.0,0
90.0,6.0,3.0,12.0,8.0,3.0,9.0,8.0,40.0,80.0,87.0,2.0,1.0,0
100.0,12.0,4.0,20.0,8.0,5.0,9.0,9.5,60.0,80.0,80.0,5.0,1.0,0
60.0,3.0,3.0,10.0,8.0,4.0,9.0,8.0,40.0,56.0,50.0,1.0,1.0,0
99.0,30.0,4.0,25.0,6.0,4.0,7.0,7.0,50.0,17.0,90.0,4.0,1.0,0
100.0,7.0,3.0,0.0,6.0,5.0,0.0,9.0,60.0,76.0,96.0,3.0,2.0,0
75.0,5.0,4.0,32.0,8.0,3.0,9.5,7.0,0.0,33.0,60.0,2.0,1.0,0
85.0,30.0,4.0,15.0,7.0,4.0,8.0,8.0,75.0,85.0,85.0,3.0,2.0,0
85.0,25.0,4.0,15.0,7.0,4.0,8.0,8.5,75.0,78.0,75.0,4.0,2.0,0
100.0,2.0,4.0,0.0,6.0,6.0,0.0,7.0,55.0,78.0,66.0,5.0,2.0,0
85.0,25.0,3.0,20.0,7.0,4.0,8.0,8.0,75.0,80.0,80.0,3.0,3.0,0
85.0,17.0,3.0,15.0,7.0,4.0,8.0,7.0,78.0,75.0,85.0,2.0,4.0,1
85.0,25.0,3.0,15.0,7.0,4.0,8.0,8.0,75.0,82.0,80.0,3.0,1.0,0
85.0,32.0,2.0,15.0,7.0,4.0,8.0,8.0,78.0,85.0,85.0,2.0,1.0,0
85.0,24.0,3.0,15.0,7.0,4.0,8.0,9.0,75.0,75.0,75.0,3.0,1.0,0
71.0,35.0,3.0,32.0,8.0,4.0,8.0,8.5,67.0,90.0,45.0,2.0,1.0,0
73.0,29.0,3.0,18.0,7.0,4.0,8.0,6.5,82.0,87.0,74.0,4.0,1.0,0
95.0,27.0,2.0,0.0,9.0,4.0,8.0,7.5,85.0,83.0,90.0,3.0,1.0,0
77.0,18.0,4.0,28.0,7.0,4.0,8.0,7.0,68.0,86.0,78.0,3.0,1.0,0
74.0,17.0,3.0,35.0,10.0,3.0,8.0,8.6,69.0,74.0,77.0,3.0,1.0,0
71.0,27.0,3.0,38.0,7.0,4.0,8.0,6.9,92.0,50.0,83.0,2.0,1.0,0
91.0,35.0,3.0,8.0,8.0,4.0,8.0,7.5,65.0,86.0,70.0,4.0,1.0,0
83.0,37.0,2.0,40.0,7.0,4.0,8.0,9.0,86.0,87.0,76.0,3.0,1.0,0
77.0,33.0,4.0,10.0,6.0,4.0,8.0,8.6,55.0,77.0,50.0,3.0,1.0,0
79.0,18.0,3.0,8.0,10.0,3.0,8.0,7.9,76.0,72.0,90.0,3.0,2.0,0
91.0,31.0,3.0,22.0,9.0,4.0,8.0,6.8,69.0,78.0,83.0,3.0,2.0,0
78.0,29.0,2.0,28.0,10.0,4.0,8.0,7.2,65.0,79.0,92.0,3.0,1.0,0
95.0,17.0,3.0,20.0,6.0,4.0,8.0,7.8,45.0,69.0,76.0,3.0,1.0,0
94.0,16.0,2.0,18.0,8.0,4.0,8.0,7.0,79.0,79.0,86.0,3.0,1.0,0
75.0,24.0,3.0,8.0,8.0,4.0,8.0,8.0,67.0,73.0,68.0,3.0,1.0,0
86.0,36.0,2.0,15.0,6.0,4.0,8.0,8.6,40.0,72.0,50.0,3.0,2.0,0
95.0,23.0,3.0,40.0,6.0,4.0,8.0,9.0,78.0,45.0,81.0,1.0,1.0,0
82.0,30.0,3.0,38.0,7.0,4.0,8.0,7.0,50.0,78.0,68.0,3.0,2.0,0
93.0,28.0,3.0,10.0,7.0,4.0,8.0,8.0,45.0,88.0,81.0,3.0,2.0,0
